#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonymns Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
217583	854208	854161	34444	34403	YOR043W	YOL001W	WHI2	PHO80	-	VAC5|AGS3|TUP7	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-5.005816	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
217945	855875	854208	35959	34444	YPL226W	YOR043W	NEW1	WHI2	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.778459	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
217963	854208	850728	34444	31315	YOR043W	YLR039C	WHI2	RIC1	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.771054	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
218062	854392	854208	34612	34444	YOR217W	YOR043W	RFC1	WHI2	CDC44	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.704349	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
218081	854208	851559	34444	32049	YOR043W	YDL005C	WHI2	MED2	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.695605	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
218142	854208	854166	34444	34408	YOR043W	YOR005C	WHI2	DNL4	-	LIG4	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.668781	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
218199	854208	855217	34444	35357	YOR043W	YMR179W	WHI2	SPT21	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.619829	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
218229	854208	854156	34444	34398	YOR043W	YOL006C	WHI2	TOP1	-	MAK17|MAK1	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.609605	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
218424	854208	853713	34444	33992	YOR043W	YKL144C	WHI2	RPC25	-	YKL1	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.503439	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
218668	854208	854150	34444	34392	YOR043W	YOL012C	WHI2	HTZ1	-	HTA3	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.390187	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
218797	854345	854208	34568	34444	YOR174W	YOR043W	MED4	WHI2	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.314857	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
218983	854208	850419	34444	31032	YOR043W	YCR052W	WHI2	RSC6	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.22457	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
219029	854208	855499	34444	35614	YOR043W	YNL222W	WHI2	SSU72	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.211526	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
219116	854208	851887	34444	32345	YOR043W	YDR293C	WHI2	SSD1	-	CLA1|MCS1|SRK1|RLT1	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.17582	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
219148	854208	856862	34444	36869	YOR043W	YER125W	WHI2	RSP5	-	UBY1|SMM1|MUT2|NPI1|MDP1	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.157006	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
219437	854208	851756	34444	32229	YOR043W	YDR176W	WHI2	NGG1	-	ADA3|SWI7	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.025038	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
219459	854208	852860	34444	33222	YOR043W	YGL025C	WHI2	PGD1	-	MED3|HRS1	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-4.015008	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
219597	854208	855386	34444	35511	YOR043W	YNL330C	WHI2	RPD3	-	SDI2|MOF6|REC3|SDS6	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.954906	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
219793	854208	850720	34444	31307	YOR043W	YLR033W	WHI2	RSC58	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.891965	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
219861	854208	853741	34444	34016	YOR043W	YKL119C	WHI2	VPH2	-	CLS10|VMA12	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.845804	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
219943	854208	851255	34444	31784	YOR043W	YAL043C	WHI2	PTA1	-	FUN39	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.815034	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
220345	854208	850897	34444	31469	YOR043W	YLR200W	WHI2	YKE2	-	GIM1|PFD6	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.632676	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
221192	854208	851441	34444	31946	YOR043W	YDL116W	WHI2	NUP84	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.369456	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
221228	854208	852680	34444	33062	YOR043W	YGL195W	WHI2	GCN1	-	AAS103|NDR1	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.352534	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
221505	854208	850598	34444	31195	YOR043W	YFR037C	WHI2	RSC8	-	SWH3	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.274919	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
221585	854208	855616	34444	35717	YOR043W	YNL107W	WHI2	YAF9	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.248807	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
222100	854208	851962	34444	32415	YOR043W	YDR359C	WHI2	EAF1	-	VID21	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.118038	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
222245	854208	854869	34444	35041	YOR043W	YML102W	WHI2	CAC2	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.065881	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
222455	854208	855473	34444	35591	YOR043W	YNL248C	WHI2	RPA49	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-3.028282	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
222590	854208	851549	34444	32041	YOR043W	YDL013W	WHI2	SLX5	-	HEX3|ULS2	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.990578	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
222599	854208	851261	34444	31788	YOR043W	YAL002W	WHI2	VPS8	-	VPT8|VPL8|FUN15	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.987745	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
222675	854208	850562	34444	31160	YOR043W	YFR010W	WHI2	UBP6	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.962218	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
223007	854208	856404	34444	36440	YOR043W	YHR013C	WHI2	ARD1	-	NAA10	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.875985	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
223154	854208	853583	34444	33875	YOR043W	YJR119C	WHI2	JHD2	-	KDM5	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.8543	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
223388	854208	852750	34444	33124	YOR043W	YGL127C	WHI2	SOH1	-	MED31	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.799445	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
223810	854208	854020	34444	34272	YOR043W	YOL145C	WHI2	CTR9	-	CDP1	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.721472	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
223929	854208	854734	34444	34916	YOR043W	YIL076W	WHI2	SEC28	-	ANU2	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.690366	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
223976	854208	851091	34444	31635	YOR043W	YLR376C	WHI2	PSY3	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.684289	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
224381	854208	855569	34444	35676	YOR043W	YNL153C	WHI2	GIM3	-	PFD4	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.609277	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
224504	854208	850915	34444	31485	YOR043W	YLR218C	WHI2	YLR218C	-	CMC3	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.586279	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
224610	856226	854208	36277	34444	YPR110C	YOR043W	RPC40	WHI2	RPC5	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.571929	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
224746	854208	852001	34444	32454	YOR043W	YDR392W	WHI2	SPT3	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.548228	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
224793	854485	854208	34697	34444	YOR308C	YOR043W	SNU66	WHI2	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.536169	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
224895	854208	1466445	34444	36987	YOR043W	YBR111W-A	WHI2	SUS1	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.513245	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
224899	854208	851934	34444	32391	YOR043W	YDR334W	WHI2	SWR1	-	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-2.512243	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
